title,author,status,rating,pages
Como convencer alguém em 90 segundos,Nicholas Boothman,Lendo,3.5,200
Antes de casar,Leonora Ciribelli,Desconhecido,4.0,142
Criação ou Evolução,John MacArthur,Lido,2.5,208
A Arte de Fazer Acontecer,David Allen,Lendo,4.0,206
The Hiding Place,Corrie ten Boom,Lido,5.0,242
But I say to You,John R. W. Stott,Lido,,224
Práticas Devocionais(edição ampliada),Elben M. Lenz César,Lendo,,160
Ich bin kein Berliner,Wladimir Kaminer,Lido,4.0,251
Em Busca de Deus,John Piper,Lido,5.0,296
Max e Moritz,Wilhelm Busch,Lido,5.0,10
"Eu, um Missionário?",Antônia Leonora Van Der Meer,Lido,5.0,240
Desmistificando Dízimo,PAULO JOSÉ F. DE OLIVEIRA,Lido,5.0,144
Encarnando a Palavra Libertadora,NEUZA ITIOKA,Lido,,100
O fator Melquisedeque,Don Richardson,Lido,4.0,240
"Nem monge, nem executivo",Paul Freston,Lido,5.0,136
Oração: O Primeiro e Último Recurso,Watchman Nee,Lendo,,80
Teologia Pura e Simples,Alister McGrath,Lido,4.0,184
A Mensagem da Missão,Howard Peskett,Lido,5.0,272
Por Que Sou Cristão,John Stott,Lido,,152
Cristo é o Senhor,Dionísio Pape,Lido,,78
Estudo Bíblico Indutivo,Antônia Leonora Van Der Meer,Lido,,52
"Ouça o Espírito, Ouça o Mundo",John R. W. Stott,Lido,,488
O Sertanejo,José de Alencar,Lido,,260
O Retorno do Rei (O Senhor dos Anéis #3),J. R. R. Tolkien,Lido,,592
A Sociedade do Anel (O Senhor dos Anéis #1),J. R. R. Tolkien,Lido,,592
Simplesmente Cristão,N. T. Wright,Lido,5.0,256
As Duas Torres (O Senhor dos Anéis #2),J. R. R. Tolkien,Lido,,364
As Crônicas de Nárnia (As Crônicas de Nárnia),C. S. Lewis,Lido,,752
Crer é também pensar,John Stott,Lido,,60
Cristianismo puro e simples,C. S. Lewis,Lido,5.0,300
O Discípulo Radical,John Stott,Lido,,120
Cristianismo Básico,John Stott,Lido,5.0,208
Jesus de Pés Sujos,Don Everts,Lido,5.0,130
A estrela sobe,Marques Rebelo,Lido,,222
Assassinatos na Rua Morgue (Classicos Saraiva),Edgar Allan Poe,Lido,3.0,240
As Lágrimas do Assassino,Anne Laure Bondoux,Lido,5.0,159
O Reino do Dragão de Ouro (As Aventuras da Águia e do Jaguar #2),Isabel Allende,Quero ler,,304
La Ciudad de Las Bestias,Isabel Allende,Lido,4.0,315
